,Country,HDI.Rank,HDI,CPI,Region
1,Afghanistan,172,0.398,15,Asia Pacific
2,Albania,70,0.739,31,East EU Cemt Asia
3,Algeria,96,0.698,29,MENA
4,Angola,148,0.486,20,SSA
5,Argentina,45,0.797,30,Americas
6,Armenia,86,0.716,26,East EU Cemt Asia
7,Australia,2,0.929,88,Asia Pacific
8,Austria,19,0.885,78,EU W. Europe
9,Azerbaijan,91,0.7,24,East EU Cemt Asia
10,Bahamas,53,0.771,73,Americas
11,Bahrain,42,0.806,51,MENA
12,Bangladesh,146,0.5,27,Asia Pacific
13,Barbados,47,0.793,78,Americas
14,Belarus,65,0.756,24,East EU Cemt Asia
15,Belgium,18,0.886,75,EU W. Europe
16,Benin,167,0.427,30,SSA
17,Bhutan,141,0.522,57,Asia Pacific
18,Bolivia,108,0.663,28,Americas
19,Bosnia and Herzegovina,74,0.733,32,East EU Cemt Asia
20,Botswana,118,0.633,61,SSA
21,Brazil,84,0.718,38,Americas
22,Britain,28,0.863,78,EU W. Europe
23,Bulgaria,55,0.771,33,EU W. Europe
24,Burkina Faso,181,0.331,30,SSA
25,Burundi,185,0.316,19,SSA
26,Cambodia,139,0.523,21,Asia Pacific
27,Cameroon,150,0.482,25,SSA
28,Canada,6,0.908,87,Americas
29,Cape Verde,133,0.568,55,SSA
30,Central African Republic,179,0.343,22,SSA
31,Chad,183,0.328,20,SSA
32,Chile,44,0.805,72,Americas
33,China,101,0.687,36,Asia Pacific
34,Colombia,87,0.71,34,Americas
35,Comoros,163,0.433,24,SSA
36,Congo,187,0.286,20,SSA
37,Congo  Republic,137,0.533,22,SSA
38,Costa Rica,69,0.744,48,Americas
39,C̫te d'Ivoire,170,0.4,22,SSA
40,Croatia,46,0.796,40,East EU Cemt Asia
41,Cuba,51,0.776,42,Americas
42,Cyprus,31,0.84,63,EU W. Europe
43,Czech Republic,27,0.865,44,EU W. Europe
44,Denmark,16,0.895,94,EU W. Europe
45,Djibouti,165,0.43,30,SSA
46,Dominica,81,0.724,52,Americas
47,Dominican Republic,98,0.689,26,Americas
48,Ecuador,83,0.72,27,Americas
49,Egypt,113,0.644,29,MENA
50,El Salvador,105,0.674,34,Americas
51,Equatorial Guinea,136,0.537,19,SSA
52,Eritrea,177,0.349,25,SSA
53,Estonia,34,0.835,64,EU W. Europe
54,Ethiopia,174,0.363,27,SSA
55,Finland,22,0.882,94,EU W. Europe
56,France,20,0.884,70,EU W. Europe
57,Gabon,106,0.674,30,SSA
58,Gambia,168,0.42,35,SSA
59,Georgia,75,0.733,41,East EU Cemt Asia
60,Germany,9,0.905,80,EU W. Europe
61,Ghana,135,0.541,39,SSA
62,Greece,29,0.861,34,EU W. Europe
63,Guatemala,131,0.574,27,Americas
64,Guinea,178,0.344,21,SSA
65,Guinea-Bissau,176,0.353,22,SSA
66,Guyana,117,0.633,25,Americas
67,Haiti,158,0.454,18,Americas
68,Honduras,121,0.625,26,Americas
69,Hong Kong,13,0.898,84,Asia Pacific
70,Hungary,38,0.816,46,EU W. Europe
71,Iceland,14,0.898,83,EU W. Europe
72,India,134,0.547,31,Asia Pacific
73,Indonesia,124,0.617,30,Asia Pacific
74,Iran,88,0.707,27,MENA
75,Iraq,132,0.573,18,MENA
76,Ireland,7,0.908,75,EU W. Europe
77,Israel,17,0.888,58,MENA
78,Italy,24,0.874,39,EU W. Europe
79,Jamaica,79,0.727,33,Americas
80,Japan,12,0.901,80,Asia Pacific
81,Jordan,95,0.698,45,MENA
82,Kazakhstan,68,0.745,27,East EU Cemt Asia
83,Kenya,143,0.509,22,SSA
84,Kiribati,122,0.624,31,Asia Pacific
85,Korea (South),15,0.897,54,Asia Pacific
86,Kuwait,63,0.76,46,MENA
87,Kyrgyzstan,126,0.615,21,East EU Cemt Asia
88,Laos,138,0.524,22,Asia Pacific
89,Latvia,43,0.805,42,EU W. Europe
90,Lebanon,71,0.739,25,MENA
91,Lesotho,160,0.45,35,SSA
92,Liberia,182,0.329,32,SSA
93,Libya,64,0.76,20,MENA
94,Lithuania,40,0.81,48,EU W. Europe
95,Luxembourg,25,0.867,85,EU W. Europe
96,Madagascar,151,0.48,30,SSA
97,Malawi,171,0.4,30,SSA
98,Malaysia,61,0.761,43,Asia Pacific
99,Maldives,109,0.661,25,Asia Pacific
100,Mali,175,0.359,28,SSA
101,Malta,36,0.832,56,EU W. Europe
102,Mauritania,159,0.453,24,SSA
103,Mauritius,77,0.728,51,SSA
104,Mexico,57,0.77,30,Americas
105,Moldova,111,0.649,29,East EU Cemt Asia
106,Mongolia,110,0.653,27,Asia Pacific
107,Montenegro,54,0.771,40,East EU Cemt Asia
108,Morocco,130,0.582,34,MENA
109,Mozambique,184,0.322,27,SSA
110,Myanmar,149,0.483,15,Asia Pacific
111,Namibia,120,0.625,44,SSA
112,Nepal,157,0.458,22,Asia Pacific
113,Netherlands,3,0.91,89,EU W. Europe
114,New Zealand,5,0.908,95,Asia Pacific
115,Nicaragua,129,0.589,25,Americas
116,Niger,186,0.295,25,SSA
117,Nigeria,156,0.459,24,SSA
118,Norway,1,0.943,90,EU W. Europe
119,Oman,89,0.705,48,MENA
120,Pakistan,145,0.504,25,Asia Pacific
121,Panama,58,0.768,33,Americas
122,Papua New Guinea,153,0.466,22,Asia Pacific
123,Paraguay,107,0.665,22,Americas
124,Peru,80,0.725,34,Americas
125,Philippines,112,0.644,26,Asia Pacific
126,Poland,39,0.813,55,EU W. Europe
127,Portugal,41,0.809,61,EU W. Europe
128,Qatar,37,0.831,72,MENA
129,Romania,50,0.781,36,EU W. Europe
130,Russia,66,0.755,24,East EU Cemt Asia
131,Rwanda,166,0.429,50,SSA
132,Saint Lucia,82,0.723,70,Americas
133,Saint Vincent and the Grenadines,85,0.717,58,Americas
134,Samoa,99,0.688,39,Asia Pacific
135,Saudi Arabia,56,0.77,44,MENA
136,Senegal,155,0.459,29,SSA
137,Serbia,59,0.766,33,East EU Cemt Asia
138,Seychelles,52,0.773,48,SSA
139,Sierra Leone,180,0.336,25,SSA
140,Singapore,26,0.866,92,Asia Pacific
141,Slovakia,35,0.834,40,EU W. Europe
142,Slovenia,21,0.884,59,EU W. Europe
143,Solomon Islands,142,0.51,27,Asia Pacific
144,South Africa,123,0.619,41,SSA
145,Spain,23,0.878,62,EU W. Europe
146,Sri Lanka,97,0.691,33,Asia Pacific
147,Sudan,169,0.408,16,SSA
148,Suriname,104,0.68,30,Americas
149,Swaziland,140,0.522,31,SSA
150,Sweden,10,0.904,93,EU W. Europe
151,Switzerland,11,0.903,88,EU W. Europe
152,Syria,119,0.632,26,MENA
153,Tajikistan,127,0.607,23,East EU Cemt Asia
154,Tanzania,152,0.466,30,SSA
155,Thailand,103,0.682,34,Asia Pacific
156,Timor-Leste,147,0.495,24,Asia Pacific
157,Togo,162,0.435,24,SSA
158,Tonga,90,0.704,31,Asia Pacific
159,Trinidad and Tobago,62,0.76,32,Americas
160,Tunisia,94,0.698,38,MENA
161,Turkey,92,0.699,42,East EU Cemt Asia
162,Turkmenistan,102,0.686,16,East EU Cemt Asia
163,Uganda,161,0.446,24,SSA
164,Ukraine,76,0.729,23,East EU Cemt Asia
165,United Arab Emirates,30,0.846,68,MENA
166,United States,4,0.91,71,Americas
167,Uruguay,48,0.783,70,Americas
168,Uzbekistan,115,0.641,16,East EU Cemt Asia
169,Vanuatu,125,0.617,35,Asia Pacific
170,Venezuela,73,0.735,19,Americas
171,Yemen,154,0.462,21,MENA
172,Zambia,164,0.43,32,SSA
173,Zimbabwe,173,0.376,22,SSA
